id,tank,sex,age,temp,morph_p,morph_c,hr,hr_c
376833,1,M,Y,30,10.96,C,23.4,Pre
376833,1,M,Y,30,66.25,GF,25.6,Post
376833,1,M,Y,30,22.79,DGF,22.9,Post2
375840,1,M,O,30,5.91,C,25.2,Pre
375840,1,M,O,30,55.33,GF,26,Post
375840,1,M,O,30,38.77,DGF,28.2,Post2
375813,1,M,O,30,13.65,C,24.7,Pre
375813,1,M,O,30,71.34,GF,30.9,Post
375813,1,M,O,30,15,DGF,30,Post2
376809,1,M,O,30,13.41,C,29.7,Pre
376809,1,M,O,30,63.14,GF,35.5,Post
376809,1,M,O,30,23.46,DGF,30.6,Post2
375821,2,M,Y,30,7.34,C,36.4,Pre
375821,2,M,Y,30,68.77,GF,40.5,Post
375821,2,M,Y,30,23.89,DGF,38.5,Post2
375836,2,M,O,30,5.71,C,38.7,Pre
375836,2,M,O,30,51.43,GF,51.3,Post
375836,2,M,O,30,42.86,DGF,65.2,Post2
355305,2,M,Y,30,8.32,C,53.1,Pre
355305,2,M,Y,30,74.97,GF,31.5,Post
355305,2,M,Y,30,16.71,DGF,30.2,Post2
375802,3,M,O,20,5.99,C,19.5,Pre
375802,3,M,O,20,72.56,GF,23.5,Post
375802,3,M,O,20,21.46,DGF,22.8,Post2
375809,3,M,O,20,5.96,C,22.3,Pre
375809,3,M,O,20,61.93,GF,23.3,Post
375809,3,M,O,20,32.11,DGF,21.6,Post2
375820,3,M,Y,20,7.24,C,22.4,Pre
375820,3,M,Y,20,75.68,GF,23.3,Post
375820,3,M,Y,20,17.08,DGF,22,Post2
376627,3,M,Y,20,3.92,C,21.1,Pre
376627,3,M,Y,20,73.34,GF,21.6,Post
376627,3,M,Y,20,22.74,DGF,23,Post2
375847,4,M,O,20,6.05,C,19.9,Pre
375847,4,M,O,20,65.59,GF,23.4,Post
375847,4,M,O,20,28.37,DGF,23.2,Post2
355333,4,M,O,20,5.36,C,17.4,Pre
355333,4,M,O,20,78.56,GF,21.4,Post
355333,4,M,O,20,16.08,DGF,22.1,Post2
355317,4,M,O,20,3.97,C,26.5,Pre
355317,4,M,O,20,61.32,GF,25.1,Post
355317,4,M,O,20,34.71,DGF,24.4,Post2
355337,4,M,O,20,2.96,C,20.4,Pre
355337,4,M,O,20,74.08,GF,21,Post
355337,4,M,O,20,22.96,DGF,19.5,Post2
376638,5,F,Y,30,7.05,C,26.1,Pre
376638,5,F,Y,30,75.79,GF,29,Post
376638,5,F,Y,30,17.17,DGF,27.4,Post2
376608,5,F,O,30,4.77,C,25.2,Pre
376608,5,F,O,30,74.24,GF,30.8,Post
376608,5,F,O,30,20.98,DGF,30.3,Post2
